rank,Country,ISO3,Project_007_Region,market_attractiveness_score,n_pillars_available,score_market_size,score_market_growth,score_spending_power,score_digital_readiness,score_market_stability
89,Brazil,BRA,Latin America,42.67249874183118,5,7.319972123381817,66.6027502049623,11.864194432029883,82.92600420301494,44.649572745766974
90,Namibia,NAM,Africa,42.25122270221703,5,0.04776416649823764,80.34231627967142,6.556177278498357,60.89044484994369,63.41941093647344
91,Bosnia and Herzegovina,BIH,Europe,42.09725251260586,5,0.10114217335630384,70.68773082495137,9.744399207666152,82.09279549607707,47.8601948609784
92,Mexico,MEX,Latin America,42.0885127082043,5,6.655334422250609,70.41364243581546,14.727682976605147,79.72931310155649,38.916590604793775
93,Colombia,COL,Latin America,42.06165326848252,5,1.4311075014963004,78.47353279486923,10.318571303210197,75.58580386424697,44.49925087858994
94,Uruguay,URY,Latin America,41.83685679156507,4,0.2036924685596251,,23.230272576957447,61.83336132407929,82.08010079666391
95,Paraguay,PRY,Latin America,41.836504264922155,5,0.1499785661965151,75.45458409485344,8.259045251776186,76.4023225961268,48.91659081565786
96,Philippines,PHL,South & Southeast Asia,41.81028034752741,5,1.7747749525833332,81.58792077215975,5.16051681364402,76.15689799801511,44.371291201234875
97,Russian Federation,RUS,Europe,41.50172767131067,5,5.402718383485524,67.83113396607725,11.782586006875407,91.64577326760097,30.846426732514214
98,Peru,PER,Latin America,41.501606602140555,5,0.9024835765142285,74.08960582162258,8.68131743520907,77.89974845924044,45.93487771811648
99,Armenia,ARM,Middle East,41.37265133431479,5,0.08422990306991432,71.16342048642302,6.968599990056461,78.45107698428112,50.19592930774343
100,Indonesia,IDN,South & Southeast Asia,41.336051262198524,5,3.9618894745284314,78.99790085459676,4.440560263867763,66.82926064717279,52.45064507082685
101,Ghana,GHA,Africa,41.23744542854123,5,0.36352866974804104,80.38518051591544,3.079100607325058,68.40846126058959,53.950956089128034
102,Belize,BLZ,Latin America,41.020477399447614,5,0.009325814102682723,74.03487415679645,7.840614533240971,67.8837270494911,55.333845443606876
103,Belarus,BLR,Europe,40.89630279100578,5,0.20656665786774664,74.19608906840256,8.206806561462033,90.85671604770747,31.015335619589102
104,Moldova,MDA,Europe,40.75204040180678,5,0.07510242151254128,71.38743906163072,6.379088972565629,74.68783947564226,51.23073207768276
105,South Africa,ZAF,Africa,40.75132426509806,5,1.2991928642610637,68.39219108148805,7.498533954057743,76.66289315819007,49.90381026749342
106,India,IND,South & Southeast Asia,40.6529607109141,5,10.502518139351572,86.87811022681056,2.371007643290003,57.181208108237016,46.331959436881334
107,Marshall Islands,MHL,Oceania,40.403213231052085,5,0.0,65.09603662467582,7.8468305475331315,61.30023395323344,67.77296502981804
