ISO3,Country,Year,Project_007_Region,Official_Region,Sub_Region,population_total,urban_population_pct,population_65_plus_pct,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_current_usd,gdp_per_capita_ppp_current_intl,household_consumption_expenditure_current_usd,household_consumption_expenditure_constant_2015_usd,household_consumption_expenditure_per_capita_constant_2015_usd,consumption_per_capita_check_usd,household_consumption_pct_of_gdp,consumption_growth_yoy_real_pct,consumption_cagr_2013_2023_real_pct,cagr_start_year,cagr_end_year,inflation_cpi_annual_pct,unemployment_pct_of_labor_force,internet_users_pct_of_population,global_consumption_share_pct,regional_consumption_share_pct,cluster,pca1,pca2
ETH,Ethiopia,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,128691692.0,23.0586471557617,3.17131039041743,74.0248657156642,135874093203.18,1055.81091593061,3063.42789983124,107230732526.856,77694952841.2432,603.729359943788,833.2374130791287,78.9191890808122,7.183212069905709,7.476294037746456,2013.0,2023.0,30.2188278135278,3.375,20.33749962,0.181356633206871,6.476371840303571,0,-3.3867528904666395,-0.4388643616888489
FIN,Finland,2023,Europe,Europe & Central Asia,Northern Europe,5583911.0,74.0062548602828,23.5778747195571,62.6357187918865,295191741637.26,52864.6931581216,63466.8356113767,151334357098.042,131644814605.89,23575.7365412684,27101.85694185348,51.2664603212395,-0.255559082295842,0.5987703988006077,2013.0,2023.0,6.25064322154763,7.149,93.51385075,0.2559479810039859,1.071067913456431,2,2.1627299617210967,0.24087709633574347
FRA,France,2023,Europe,Europe & Central Asia,Western Europe,68372286.0,78.7804323126547,21.7491423914771,62.6913599952639,3056250648138.29,44700.1384177544,60927.0361517867,1670309715724.54,1441339893505.39,21080.762072302,24429.630972475312,54.6522490471129,0.6773845936541179,1.0937442144774543,2013.0,2023.0,4.8783572650844,7.335,86.83635789,2.824952691437238,11.821605987912404,2,1.9216504258061775,0.13531839668048098
GAB,Gabon,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,2484789.0,91.6375962797313,4.04183293668656,68.6454953915487,19388372070.9778,7802.82433276138,20772.7726890351,6685090126.23857,5527468361.71632,2224.52222772892,2690.405554048481,34.479893937281,2.122004541394817,1.1022561117847385,2013.0,2023.0,3.62901534185376,20.161,68.19789886,0.0113063243102949,0.4037567255508548,3,0.2731254935456478,0.693356619431706
GBR,United Kingdom,2023,Europe,Europe & Central Asia,Northern Europe,68526000.0,83.1601932891335,19.238129106618,57.8463970694922,3420796653789.08,49919.6896621586,60786.7193353069,2124077512840.85,2046547454512.93,29865.2694526593,30996.665686613112,62.0930656748653,-0.3945973554788207,1.4663526510992897,2013.0,2023.0,6.79396706793963,4.025,95.44719696,3.5923987211666537,15.033144576841169,2,2.5714160018468157,-0.009942618230361853
GEO,Georgia,2023,Middle East,Europe & Central Asia,Western Asia,3715483.0,60.7523077799724,15.317458316393,57.1296262620538,30777833600.6515,8283.66960652261,25092.632631604,21996831224.279,16926073637.7397,4555.55136108541,5920.31540025321,71.4697191156864,4.65689061821839,4.941293329542207,2013.0,2023.0,2.48776056578715,11.549,81.88425624,0.0372026858163623,0.9548570718762672,3,-0.4619142090725121,-0.7237806896465462
GHA,Ghana,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,33787914.0,57.8074737774654,3.6318149146467,66.1425812587668,80547146875.9526,2383.90410476221,7562.64422849208,68650427211.5376,56956878048.6735,1685.71750385873,2031.804248452201,85.2301166138924,10.15746373363018,4.298167891251681,2013.0,2023.0,38.1069656296501,2.829,70.67430115,0.1161067359507188,4.14625250747271,0,-1.1252243108903475,0.8696101117925729
GIN,Guinea,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,14405468.0,37.6454083954705,3.44105793716664,80.7795140106788,22407615556.0571,1555.49375806861,4337.3181486001,15830268377.0635,9953104902.23956,690.925480674391,1098.906913476431,70.6468224495414,3.959999999930619,3.3107529783317657,2013.0,2023.0,7.80497591927973,5.141,32.31560135,0.0267733336140962,0.9560944136606108,0,-2.2679953507099073,0.039627720248740034
GMB,"Gambia, The",2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,2697845.0,63.8020182456108,2.97785770163636,77.6473477794781,2382262185.38179,883.024111978927,3291.84381275128,2211034508.77909,1635603310.63066,606.262891541457,819.5557968597492,92.8123916144329,6.3986161615653625,3.950127931442293,2013.0,2023.0,16.9742129632327,6.479,48.72829819,0.0037394668950522,0.1335389705279688,0,-1.4634863083140965,0.3243987715077137
GNB,Guinea-Bissau,2023,Africa,Sub-Saharan Africa ,Sub-Saharan Africa,2153339.0,45.5923843383789,3.14256138954433,73.5656689085059,2076748678.11987,964.431832665395,2955.52345541775,1503764400.71402,1300855612.29879,604.110923685864,698.3407632119328,72.4095513606109,-0.5356622263653632,5.739584204726533,2013.0,2023.0,7.10220928557059,2.632,28.71240044,0.0025432788009868,0.0908222595308311,0,-2.47700463266499,-0.6289380911802441
