DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP061,XDC,V,N,T0117,2022,2129,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP112,XDC,V,N,T0117,2022,703,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP041,XDC,V,N,T0117,2022,8253,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP10,XDC,V,N,T0117,2022,452,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP124,XDC,V,N,T0117,2022,2569,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP081,XDC,V,N,T0117,2022,122,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP121,XDC,V,N,T0117,2022,2748,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP031,XDC,V,N,T0117,2022,3945,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP023,XDC,V,N,T0117,2022,318,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP01,XDC,V,N,T0117,2022,15799,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP08,XDC,V,N,T0117,2022,3098,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP054,XDC,V,N,T0117,2022,529,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP053,XDC,V,N,T0117,2022,901,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP071,XDC,V,N,T0117,2022,3622,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP123,XDC,V,N,T0117,2022,634,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP126,XDC,V,N,T0117,2022,3458,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP11,XDC,V,N,T0117,2022,8133,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP125,XDC,V,N,T0117,2022,3478,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP055,XDC,V,N,T0117,2022,789,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,FIN,S14,S1,P31DC,_Z,_Z,CP122,XDC,V,N,T0117,2023,180,,F,1,A,6,EUR
