iso3,year,regulatory_quality_score
HRV,2023,61.8626341
HRV,2022,59.5836638
HRV,2021,60.0957508
HRV,2020,58.045127
HRV,2019,60.9313191
HRV,2018,61.1018571
HRV,2017,59.5254783
HRV,2016,57.707073
HRV,2015,57.1698447
HRV,2014,56.7407549
HRV,2013,58.4331277
CUB,2023,35.4489206
CUB,2022,36.4527605
CUB,2021,36.3616506
CUB,2020,35.534856
CUB,2019,35.5531681
CUB,2018,35.5424136
CUB,2017,36.8821564
CUB,2016,36.872509
CUB,2015,39.3302814
CUB,2014,37.5553342
CUB,2013,33.6209578
CYP,2023,67.0424339
CYP,2022,66.425314
CYP,2021,68.244642
CYP,2020,69.0242564
CYP,2019,71.2579706
CYP,2018,69.7424712
CYP,2017,70.1533498
CYP,2016,70.3276161
CYP,2015,70.5314254
CYP,2014,70.4394307
CYP,2013,67.7996482
CZE,2023,74.222575
CZE,2022,75.8062102
CZE,2021,74.4255721
CZE,2020,72.0527635
CZE,2019,72.550776
CZE,2018,72.9466892
CZE,2017,72.8485894
CZE,2016,69.7011264
CZE,2015,70.4541455
CZE,2014,67.6778439
CZE,2013,69.8125373
DNK,2023,86.2390996
DNK,2022,86.7303352
DNK,2021,86.3661936
DNK,2020,86.029193
DNK,2019,85.3573794
DNK,2018,83.9270834
DNK,2017,83.1152385
DNK,2016,82.6034181
DNK,2015,82.691093
DNK,2014,81.0668511
DNK,2013,83.6564411
DJI,2023,42.4294035
DJI,2022,42.7288318
DJI,2021,42.7397803
DJI,2020,41.7572492
DJI,2019,42.6729378
DJI,2018,43.1939767
DJI,2017,44.1184706
DJI,2016,43.5748581
DJI,2015,43.3592423
DJI,2014,43.5001646
DJI,2013,42.9839755
DMA,2023,57.2884884
DMA,2022,57.1838056
DMA,2021,57.2175833
DMA,2020,57.2947229
DMA,2019,56.738468
DMA,2018,57.3751003
DMA,2017,57.6105361
DMA,2016,58.5491186
DMA,2015,58.5372679
DMA,2014,60.8237754
DMA,2013,63.0767417
DOM,2023,55.6277752
DOM,2022,53.9191641
DOM,2021,54.6996665
