iso3,year,rule_of_law_score
FIN,2016,92.4476921
FIN,2015,92.5018456
FIN,2014,91.6391763
FIN,2013,89.9696159
FRA,2023,74.0827805
FRA,2022,74.5113529
FRA,2021,75.561772
FRA,2020,76.3646169
FRA,2019,77.3579292
FRA,2018,78.0557733
FRA,2017,78.390549
FRA,2016,78.5863259
FRA,2015,78.3487803
FRA,2014,78.7018665
FRA,2013,78.300432
PYF,2023,74.4786766
PYF,2022,74.5240612
PYF,2021,74.6908949
PYF,2020,73.3591789
PYF,2019,72.4164867
PYF,2018,
PYF,2017,
PYF,2016,
PYF,2015,
PYF,2014,
PYF,2013,
GAB,2023,38.4087445
GAB,2022,38.1411869
GAB,2021,41.1903866
GAB,2020,40.9325048
GAB,2019,42.0629623
GAB,2018,43.6594306
GAB,2017,45.9702205
GAB,2016,47.4719387
GAB,2015,46.0413506
GAB,2014,46.3607365
GAB,2013,45.8015264
GMB,2023,51.1051888
GMB,2022,50.7004498
GMB,2021,50.5597661
GMB,2020,51.1676292
GMB,2019,49.339393
GMB,2018,49.0647515
GMB,2017,47.2994479
GMB,2016,40.3565865
GMB,2015,41.2320898
GMB,2014,41.5725657
GMB,2013,43.1356814
GEO,2023,59.792293
GEO,2022,60.0939605
GEO,2021,60.8394369
GEO,2020,61.3843467
GEO,2019,60.6553237
GEO,2018,61.5494473
GEO,2017,60.8054905
GEO,2016,63.353215
GEO,2015,62.8259841
GEO,2014,63.0366086
GEO,2013,59.0613165
DEU,2023,84.2533906
DEU,2022,84.1757238
DEU,2021,85.1033429
DEU,2020,84.9686433
DEU,2019,86.3547779
DEU,2018,86.4901366
DEU,2017,86.2725572
DEU,2016,85.9619349
DEU,2015,86.9091312
DEU,2014,86.8522205
DEU,2013,84.9693834
GHA,2023,56.9132228
GHA,2022,57.0014518
GHA,2021,57.6793315
GHA,2020,58.8751793
GHA,2019,58.9906253
GHA,2018,60.4056893
GHA,2017,61.7841927
GHA,2016,60.4758591
GHA,2015,60.4271752
GHA,2014,59.4348989
GHA,2013,60.4374775
GRC,2023,63.7866683
GRC,2022,65.3854549
GRC,2021,64.605187
GRC,2020,65.1052509
GRC,2019,63.5706981
GRC,2018,61.7795957
GRC,2017,61.7475115
GRC,2016,61.5190101
GRC,2015,62.8102173
GRC,2014,63.1757641
GRC,2013,63.7583206
GRL,2023,84.0643069
GRL,2022,84.073074
GRL,2021,84.9403902
GRL,2020,85.0006862
GRL,2019,84.9836682
GRL,2018,84.9856406
GRL,2017,84.9702319
GRL,2016,84.9858592
GRL,2015,84.979474
GRL,2014,84.940731
GRL,2013,84.8968093
GRD,2023,66.4312547
GRD,2022,65.0733835
GRD,2021,63.9256396
GRD,2020,64.3250552
GRD,2019,63.6860872
GRD,2018,64.221791
GRD,2017,66.5871492
GRD,2016,70.7435891
GRD,2015,67.9415507
GRD,2014,60.4379577
GRD,2013,63.5190591
GUM,2023,74.7745372
GUM,2022,77.106813
GUM,2021,76.7728892
GUM,2020,76.8851271
GUM,2019,81.472017
GUM,2018,81.3040491
GUM,2017,79.7610924
GUM,2016,75.8964289
GUM,2015,79.7837313
GUM,2014,79.6888264
GUM,2013,74.7025552
GTM,2023,39.5678527
GTM,2022,39.1149668
GTM,2021,40.1745041
GTM,2020,40.3404859
GTM,2019,39.6565997
GTM,2018,40.0835439
GTM,2017,40.596175
GTM,2016,40.3721002
GTM,2015,40.6171135
GTM,2014,40.4388382
GTM,2013,39.1168875
GIN,2023,37.9145581
GIN,2022,38.8007372
GIN,2021,39.701807
GIN,2020,38.0979794
GIN,2019,38.3218373
GIN,2018,37.9630097
GIN,2017,37.3161591
GIN,2016,37.3318364
GIN,2015,36.4942293
GIN,2014,31.003552
GIN,2013,31.4838666
GNB,2023,36.1902057
GNB,2022,35.4239662
GNB,2021,36.2835238
GNB,2020,37.4565658
GNB,2019,37.2769205
GNB,2018,37.4490481
GNB,2017,34.1181265
GNB,2016,33.428411
GNB,2015,34.5493475
GNB,2014,32.7123321
GNB,2013,29.4138269
GUY,2023,50.5634474
GUY,2022,50.7636991
GUY,2021,50.4431618
GUY,2020,50.2993922
GUY,2019,49.3874005
GUY,2018,49.9038885
GUY,2017,49.8261271
GUY,2016,48.475815
GUY,2015,47.5558065
GUY,2014,46.5221712
GUY,2013,46.7168862
HTI,2023,28.7128263
HTI,2022,30.0662313
HTI,2021,33.0046405
HTI,2020,36.1195024
HTI,2019,36.6340886
HTI,2018,36.802862
HTI,2017,36.2120357
HTI,2016,36.1928682
HTI,2015,35.8606723
HTI,2014,35.4863705
HTI,2013,33.6346193
HND,2023,37.0610655
HND,2022,38.1748769
HND,2021,37.3143589
HND,2020,37.8437257
HND,2019,38.4368702
HND,2018,38.14234
HND,2017,38.1934627
HND,2016,36.6842303
HND,2015,37.0515566
HND,2014,36.7478307
HND,2013,35.6509943
HKG,2023,72.0396343
HKG,2022,72.1820236
HKG,2021,74.7261011
HKG,2020,77.1939508
HKG,2019,79.9523997
HKG,2018,82.4414821
HKG,2017,82.706866
HKG,2016,84.4719854
HKG,2015,84.0872195
HKG,2014,83.7127921
HKG,2013,80.495282
HUN,2023,60.2244262
HUN,2022,61.1404022
HUN,2021,62.078697
HUN,2020,62.6303362
HUN,2019,62.2675157
HUN,2018,62.8108111
HUN,2017,63.8659993
HUN,2016,64.0195945
HUN,2015,63.0792998
HUN,2014,63.0056191
HUN,2013,65.5474506
ISL,2023,84.3343755
ISL,2022,84.4478199
ISL,2021,86.3539965
ISL,2020,85.9929039
ISL,2019,87.0266527
ISL,2018,86.9248531
ISL,2017,85.6348214
ISL,2016,84.8526914
ISL,2015,85.2272186
ISL,2014,84.866231
ISL,2013,85.1977642
IND,2023,55.4517708
IND,2022,55.0631273
IND,2021,53.7961752
IND,2020,55.1924812
IND,2019,56.6186668
IND,2018,57.3146728
IND,2017,56.2764251
IND,2016,55.5475105
IND,2015,54.5995656
IND,2014,54.1139949
IND,2013,54.9689314
IDN,2023,55.5576115
IDN,2022,54.7424954
IDN,2021,54.4919144
IDN,2020,54.417917
IDN,2019,53.6607218
IDN,2018,53.183197
IDN,2017,51.5158034
IDN,2016,51.4261426
IDN,2015,50.4036099
IDN,2014,51.1401265
IDN,2013,49.7362494
IRN,2023,36.3038979
IRN,2022,37.5891123
IRN,2021,38.5664651
IRN,2020,39.2881443
IRN,2019,38.8293982
IRN,2018,40.287143
IRN,2017,40.986679
IRN,2016,40.2087225
IRN,2015,40.1996627
IRN,2014,35.3689075
IRN,2013,36.2124626
IRQ,2023,31.1439621
IRQ,2022,31.9224297
IRQ,2021,32.2243657
IRQ,2020,30.9345026
IRQ,2019,33.3158272
IRQ,2018,32.3181279
IRQ,2017,30.3140998
IRQ,2016,30.5154685
IRQ,2015,31.3402656
IRQ,2014,31.9065546
IRQ,2013,31.5952835
IRL,2023,84.4681784
IRL,2022,82.8500677
IRL,2021,83.5614153
IRL,2020,83.1491123
IRL,2019,83.4862527
IRL,2018,83.264658
